#time	sec	step	log_time	priority	tag	pid	log
13380	2	7	2022-01-13 12:23:05.280000	I	auditd	10995	type=1400 audit(0.0:3455): avc: denied { search } for comm="screencap" name="clients" dev="debugfs" ino=7920 scontext=u:r:shell:s0 tcontext=u:object_r:debugfs_ion:s0 tclass=dir permissive=0
13384	1	7	2022-01-13 12:23:05.284000	I	auditd	10995	type=1400 audit(0.0:3456): avc: denied { search } for comm="screencap" name="clients" dev="debugfs" ino=7920 scontext=u:r:shell:s0 tcontext=u:object_r:debugfs_ion:s0 tclass=dir permissive=0
13707	2	7	2022-01-13 12:23:05.607000	I	sysui_multi_action	1118	[757,1093,758,4,793,2000,1094,738721792,1095,4]
14285	1	8	2022-01-13 12:23:06.185000	I	am_pss	977	[9170,10251,com.zhiliaoapp.musically:push,71520256,30109696,141312]
14428	1	8	2022-01-13 12:23:06.328000	I	auditd	11087	type=1400 audit(0.0:3457): avc: denied { search } for comm="screencap" name="clients" dev="debugfs" ino=7920 scontext=u:r:shell:s0 tcontext=u:object_r:debugfs_ion:s0 tclass=dir permissive=0
14432	1	8	2022-01-13 12:23:06.332000	I	auditd	11087	type=1400 audit(0.0:3458): avc: denied { search } for comm="screencap" name="clients" dev="debugfs" ino=7920 scontext=u:r:shell:s0 tcontext=u:object_r:debugfs_ion:s0 tclass=dir permissive=0
15067	2	8	2022-01-13 12:23:06.967000	I	sysui_multi_action	1118	[757,1093,758,4,793,1361,1094,738721792,1095,4]
15568	1	9	2022-01-13 12:23:07.468000	I	auditd	11158	type=1400 audit(0.0:3459): avc: denied { search } for comm="screencap" name="clients" dev="debugfs" ino=7920 scontext=u:r:shell:s0 tcontext=u:object_r:debugfs_ion:s0 tclass=dir permissive=0
15887	1	9	2022-01-13 12:23:07.787000	I	notification_enqueue	977	[10285,1952,com.fancyclean.security.antivirus,180702,NULL,0,Notification(channel=toolbar pri=-2 contentView=com.fancyclean.security.antivirus/0x7f0c0140 vibrate=null sound=null defaults=0x0 flags=0x0 color=0x00000000 vis=SECRET),1]
15955	1	10	2022-01-13 12:23:07.855000	I	notification_enqueue	977	[10285,1952,com.fancyclean.security.antivirus,180702,NULL,0,Notification(channel=toolbar pri=-2 contentView=com.fancyclean.security.antivirus/0x7f0c0140 vibrate=null sound=null defaults=0x0 flags=0x0 color=0x00000000 vis=SECRET),1]
16295	2	10	2022-01-13 12:23:08.195000	I	am_pss	977	[10516,10274,com.example.test_one,50259968,43740160,126976]
16556	1	10	2022-01-13 12:23:08.456000	I	auditd	11231	type=1400 audit(0.0:3461): avc: denied { search } for comm="screencap" name="clients" dev="debugfs" ino=7920 scontext=u:r:shell:s0 tcontext=u:object_r:debugfs_ion:s0 tclass=dir permissive=0
17664	1	11	2022-01-13 12:23:09.564000	I	auditd	11305	type=1400 audit(0.0:3463): avc: denied { search } for comm="screencap" name="clients" dev="debugfs" ino=7920 scontext=u:r:shell:s0 tcontext=u:object_r:debugfs_ion:s0 tclass=dir permissive=0
17854	1	11	2022-01-13 12:23:09.754000	I	notification_enqueue	977	[10285,1952,com.fancyclean.security.antivirus,180702,NULL,0,Notification(channel=toolbar pri=-2 contentView=com.fancyclean.security.antivirus/0x7f0c0140 vibrate=null sound=null defaults=0x0 flags=0x0 color=0x00000000 vis=SECRET),1]
18729	1	12	2022-01-13 12:23:10.629000	I	sysui_multi_action	1118	[757,1093,758,4,793,3662,1094,738721792,1095,4]
18788	1	12	2022-01-13 12:23:10.688000	I	auditd	11366	type=1400 audit(0.0:3465): avc: denied { search } for comm="screencap" name="clients" dev="debugfs" ino=7920 scontext=u:r:shell:s0 tcontext=u:object_r:debugfs_ion:s0 tclass=dir permissive=0
18963	1	12	2022-01-13 12:23:10.863000	I	notification_enqueue	977	[10285,1952,com.fancyclean.security.antivirus,180702,NULL,0,Notification(channel=toolbar pri=-2 contentView=com.fancyclean.security.antivirus/0x7f0c0140 vibrate=null sound=null defaults=0x0 flags=0x0 color=0x00000000 vis=SECRET),1]
19788	1	13	2022-01-13 12:23:11.688000	I	auditd	11440	type=1400 audit(0.0:3467): avc: denied { search } for comm="screencap" name="clients" dev="debugfs" ino=7920 scontext=u:r:shell:s0 tcontext=u:object_r:debugfs_ion:s0 tclass=dir permissive=0
19854	1	13	2022-01-13 12:23:11.754000	I	notification_enqueue	977	[10285,1952,com.fancyclean.security.antivirus,180702,NULL,0,Notification(channel=toolbar pri=-2 contentView=com.fancyclean.security.antivirus/0x7f0c0140 vibrate=null sound=null defaults=0x0 flags=0x0 color=0x00000000 vis=SECRET),1]
20848	1	14	2022-01-13 12:23:12.748000	I	auditd	11527	type=1400 audit(0.0:3469): avc: denied { search } for comm="screencap" name="clients" dev="debugfs" ino=7920 scontext=u:r:shell:s0 tcontext=u:object_r:debugfs_ion:s0 tclass=dir permissive=0
21172	1	14	2022-01-13 12:23:13.072000	I	auditd	11552	type=1400 audit(0.0:3471): avc: denied { getattr } for comm="df" path="/vendor/protect_f" dev="mmcblk0p9" ino=2 scontext=u:r:shell:s0 tcontext=u:object_r:protect_f_data_file:s0 tclass=dir permissive=0
21172	2	14	2022-01-13 12:23:13.072000	I	auditd	11552	type=1400 audit(0.0:3472): avc: denied { getattr } for comm="df" path="/vendor/protect_s" dev="mmcblk0p10" ino=2 scontext=u:r:shell:s0 tcontext=u:object_r:protect_s_data_file:s0 tclass=dir permissive=0
21872	1	15	2022-01-13 12:23:13.772000	I	auditd	11590	type=1400 audit(0.0:3477): avc: denied { search } for comm="screencap" name="clients" dev="debugfs" ino=7920 scontext=u:r:shell:s0 tcontext=u:object_r:debugfs_ion:s0 tclass=dir permissive=0
