#time	step	cpu	threads
731458	598	3	32
732643	598	1	32
733754	600	1	32
734877	600	1	32
735974	601	1	32
737088	602	1	32
738192	603	1	32
739273	604	2	32
740384	605	2	32
741480	606	1	32
742599	607	1	32
743665	608	1	32
744761	609	1	32
745875	610	1	32
746985	611	2	32
748067	612	2	32
749168	613	1	32
750262	614	2	32
751358	615	1	32
752497	616	2	32
753606	617	2	32
754717	618	1	32
755813	619	2	32
756926	620	1	32
758045	621	1	32
759145	622	1	32
760228	623	1	32
761304	624	1	32
762406	625	1	32
763515	626	1	32
764580	627	3	32
765689	628	2	32
766754	629	1	32
767892	630	1	32
768959	631	1	32
770066	632	1	32
771174	633	1	32
772283	634	1	32
773375	635	2	32
774452	636	1	32
775532	637	1	32
776661	638	2	32
777781	639	2	32
778864	640	1	32
779945	641	2	32
781028	642	2	32
782093	643	1	32
783192	644	1	32
784336	645	1	32
785442	646	1	32
786643	646	1	32
787814	647	1	32
788895	648	2	32
790055	649	2	32
791138	649	1	32
792218	650	2	32
793346	651	1	32
794443	652	1	32
795571	653	1	32
796679	654	1	32
797792	655	1	32
798871	656	2	32
799962	657	3	32
801028	658	1	32
802137	658	1	32
803220	659	1	32
804321	660	1	32
805449	661	1	32
806545	662	2	32
807615	663	1	32
808730	664	1	32
809841	665	1	32
810986	666	1	32
812097	668	3	32
813202	669	2	32
814281	670	1	32
815388	671	1	32
816496	672	1	32
817613	673	1	32
818724	674	1	32
819832	675	1	32
820913	676	1	32
822022	677	1	32
823148	678	3	32
824245	679	1	32
825340	680	1	32
826455	681	2	32
827552	683	1	32
828661	684	1	32
829743	685	2	32
830814	686	1	32
831888	687	1	32
832986	687	1	32
834100	688	1	32
835212	689	3	32
836337	690	1	32
837436	691	1	32
838521	692	1	32
839647	693	1	32
840795	694	1	32
841875	696	1	32
842988	696	1	32
844089	697	1	32
845188	698	2	32
846311	699	2	32
847419	700	1	32
848528	701	1	32
849653	702	1	32
850763	703	1	32
851857	704	1	32
852963	705	1	32
854045	706	1	32
855127	707	1	32
856204	708	1	32
857299	709	2	32
858407	709	2	32
859511	710	1	32
860623	711	1	32
861740	712	1	32
862827	713	1	32
863922	714	1	32
865035	715	1	32
866102	717	1	32
867184	717	1	32
868292	718	1	32
869373	720	1	32
870503	721	3	32
871629	722	1	32
872802	722	1	32
873870	723	1	32
874953	724	1	32
876048	725	1	32
877155	726	1	32
878239	727	1	32
879336	729	1	32
880440	729	1	32
881529	730	2	32
882650	731	2	32
883716	732	2	32
884790	733	1	32
885905	734	1	32
886989	735	1	32
888088	736	2	32
889206	737	1	32
890307	738	1	32
891391	739	1	32
892506	740	1	32
893634	741	2	32
894729	742	1	32
895828	742	2	32
896951	743	1	32
898065	744	1	32
899197	745	1	32
900306	746	1	32
901435	747	1	32
902525	748	1	32
903637	750	2	32
904764	751	1	32
905843	752	1	32
906926	753	2	32
908037	754	1	32
909136	755	1	32
910280	755	1	32
911420	756	1	32
912548	757	1	32
913659	757	1	32
914789	758	3	32
915907	759	2	32
917037	760	1	32
918136	761	1	32
919232	762	1	32
920330	763	1	32
921430	764	1	32
922551	765	1	32
923661	766	1	32
924771	767	1	32
925864	768	2	32
926975	769	2	32
928100	770	1	32
929222	771	1	32
930378	772	1	32
931516	773	1	32
932640	774	2	32
933733	775	1	32
934828	776	2	32
935962	776	2	32
