#time	step	pss	shared_dirty	private_dirty	heap_size	heap_alloc	heap_free	native_pss	native_shared_dirty	native_private_dirty	native_heap_size	native_heap_alloc	native_heap_free	dalvik_pss	dalvik_shared_dirty	dalvik_private_dirty	dalvik_heap_size	dalvik_heap_alloc	dalvik_heap_free
167683	125	75367		49613	21029	14756	6272	9561		9524	16384	12433	3950	4089		3844	4645	2323	2322
168699	126	75704		49669	21030	14747	6282	9569		9532	16384	12424	3959	4137		3892	4646	2323	2323
169700	126	77246		51131	21029	14746	6282	9557		9520	16384	12423	3960	4081		3836	4645	2323	2322
170706	127	76897		51147	20997	14739	6257	9557		9520	16384	12432	3951	4097		3852	4613	2307	2306
171720	128	76387		50350	20997	14733	6263	9565		9528	16384	12426	3957	4057		3812	4613	2307	2306
172734	128	76662		50402	21036	14776	6259	9564		9528	16384	12450	3933	4109		3864	4652	2326	2326
173735	129	76322		50370	21037	14782	6254	9548		9512	16384	12455	3928	4093		3848	4653	2327	2326
174737	130	75362		49621	21036	14504	6531	9556		9520	16384	12178	4205	4101		3856	4652	2326	2326
175743	131	76425		50406	21062	14573	6488	9576		9540	16384	12234	4149	4101		3856	4678	2339	2339
176758	131	76115		50430	21030	14589	6440	9592		9556	16384	12266	4117	4106		3864	4646	2323	2323
177772	132	75351		49641	21030	14596	6433	9568		9532	16384	12273	4110	4106		3864	4646	2323	2323
178773	133	75358		49653	21030	14566	6463	9580		9544	16384	12243	4140	4106		3864	4646	2323	2323
179788	134	75660		49661	21032	14532	6499	9584		9548	16384	12208	4175	4110		3868	4648	2324	2324
180801	134	75457		49657	21030	14536	6493	9568		9532	16384	12213	4170	4122		3880	4646	2323	2323
181804	135	76793		51159	20998	14507	6490	9559		9524	16384	12200	4183	4102		3860	4614	2307	2307
182811	136	76267		50350	21030	14497	6532	9555		9520	16384	12174	4209	4062		3820	4646	2323	2323
183813	136	75614		50314	20998	14487	6510	9559		9524	16384	12180	4203	4022		3780	4614	2307	2307
184828	136	77013		51079	20998	14498	6499	9567		9532	16384	12191	4192	4013		3772	4614	2307	2307
185843	137	75944		50366	21062	14538	6523	9567		9532	16384	12199	4184	4065		3824	4678	2339	2339
186855	137	76391		51155	20999	14542	6456	9579		9544	16384	12234	4149	4077		3836	4615	2308	2307
187857	138	76406		51159	21030	14539	6490	9579		9544	16384	12216	4167	4077		3840	4646	2323	2323
188867	138	74375		49609	20998	14526	6471	9583		9548	16384	12219	4164	4048		3816	4614	2307	2307
189871	138	76254		51115	20998	14488	6509	9559		9524	16384	12181	4202	4048		3816	4614	2307	2307
190875	139	74382		49625	20998	14530	6467	9579		9544	16384	12223	4160	4068		3836	4614	2307	2307
191874	139	75457		50410	20999	14498	6500	9583		9548	16384	12190	4193	4084		3852	4615	2308	2307
192880	140	74400		49637	20998	14501	6496	9583		9548	16384	12194	4189	4076		3844	4614	2307	2307
193893	141	75126		50410	20998	14510	6487	9579		9544	16384	12203	4180	4088		3856	4614	2307	2307
194907	142	75436		50386	20998	14488	6509	9567		9532	16384	12181	4202	4076		3844	4614	2307	2307
195915	142	75532		50402	20999	14500	6498	9563		9528	16384	12192	4191	4096		3864	4615	2308	2307
196918	143	75118		50398	20997	14509	6487	9579		9544	16384	12202	4181	4076		3844	4613	2307	2306
197932	144	75953		51183	20999	14513	6485	9587		9552	16384	12205	4178	4088		3856	4615	2308	2307
198947	145	76210		51159	20999	14497	6501	9571		9536	16384	12189	4194	4080		3848	4615	2308	2307
199962	145	76402		51199	21031	14523	6507	9587		9552	16384	12199	4184	4104		3872	4647	2324	2323
200976	146	74755		49689	21069	14592	6476	9591		9556	16384	12249	4134	4120		3888	4685	2343	2342
201988	147	75281		50470	21070	14546	6523	9579		9544	16384	12203	4180	4148		3916	4686	2343	2343
203006	148	76243		51223	21033	14530	6502	9591		9556	16384	12205	4178	4124		3892	4649	2325	2324
204015	148	74812		49713	21031	14542	6488	9579		9544	16384	12218	4165	4156		3924	4647	2324	2323
