#time	step	rec_b	rec_bs	tra_b	tra_bs
490677	382	1150	1150	1923	1923
493895	385	3265	3265	1752	1752
494972	386	8209	8209	2206	2206
499196	389	440	440	1218	1218
502435	392	440	440	1218	1218
505552	395	440	440	1218	1218
508736	398	0	0	66	66
509788	399	440	440	1218	1218
515053	404	374	374	1052	1052
516103	405	2772	2772	2667	2667
518230	407	407	407	373	373
520328	409	374	374	1218	1218
523535	412	374	374	1218	1218
525664	414	612	612	171	171
526714	415	0	0	1152	1152
527780	416	1476	1476	294	294
528826	417	862	862	656	656
529920	418	10805	10805	1834	1834
530999	419	3336	3336	3438	3438
532072	420	5460	5460	1483	1483
537355	425	8832	8832	2727	2727
538421	426	0	0	137	137
539497	426	2353	2353	1425	1425
541575	427	440	440	1054	1054
547918	430	440	440	1218	1218
551095	431	0	0	1152	1152
552139	431	440	440	66	66
555323	432	440	440	1218	1218
557440	433	352	352	0	0
558505	434	0	0	1152	1152
559552	435	440	440	66	66
563738	439	798	798	1218	1218
566932	442	374	374	1218	1218
570104	445	374	374	1218	1218
572221	447	66	66	66	66
573265	448	0	0	1152	1152
574338	449	440	440	66	66
576431	451	2772	2772	2667	2667
577466	452	440	440	1218	1218
580656	455	440	440	1218	1218
583834	458	0	0	1152	1152
584881	459	440	440	66	66
592276	466	440	440	1054	1054
596529	470	424	424	1055	1055
602829	476	374	374	1218	1218
606012	479	66	66	1152	1152
607054	481	374	374	66	66
610227	483	440	440	1218	1218
611271	484	54	54	0	0
612307	485	54	54	0	0
613346	486	440	440	1218	1218
616504	490	54	54	1152	1152
617569	491	440	440	66	66
619634	493	0	0	1152	1152
620696	494	506	506	132	132
623887	497	374	374	1218	1218
627039	500	766	766	1494	1494
630243	503	374	374	1218	1218
631306	504	495	495	156	156
632369	505	384	384	6982	6982
633409	506	848	848	1716	1716
634455	507	374	374	66	66
636555	509	392	392	354	354
637607	510	603	603	1362	1362
638673	511	555	555	444	444
639723	512	163	163	132	132
640773	513	440	440	1218	1218
641839	514	687	687	432	432
643938	516	0	0	1152	1152
645002	517	440	440	66	66
648182	520	139	139	108	108
649249	521	295	295	1132	1132
650302	522	700	700	330	330
654584	527	440	440	1218	1218
658784	531	392	392	354	354
662997	535	374	374	1054	1054
667192	539	440	440	1447	1447
670354	542	374	374	1218	1218
671401	543	314	314	490	490
672463	544	5301	5301	1704	1704
673542	545	440	440	1218	1218
677764	549	599	599	1376	1376
679901	551	0	0	163	163
680934	552	54	54	0	0
681998	553	440	440	1218	1218
685115	556	440	440	1218	1218
686165	557	205	205	132	132
688293	559	374	374	1218	1218
689359	560	66	66	66	66
691484	562	0	0	1152	1152
692544	563	374	374	66	66
695731	566	440	440	1218	1218
696793	568	20973	20973	5643	5643
698903	570	440	440	1218	1218
702090	573	440	440	1218	1218
705248	576	0	0	1152	1152
706291	577	440	440	66	66
709461	580	440	440	1218	1218
714784	585	440	440	1218	1218
715836	586	3324	3324	2612	2612
716931	586	5668	5668	1719	1719
718075	587	2698	2698	3874	3874
719129	588	1292	1292	1095	1095
720180	589	1374	1374	4067	4067
721242	590	0	0	66	66
722280	591	66	66	66	66
723329	592	0	0	66	66
726553	595	163	163	1251	1251
727649	596	20366	20366	14994	14994
728699	596	13343	13343	4504	4504
729748	597	23992	23992	18125	18125
730827	597	25081	25081	18602	18602
731910	598	30652	30652	18405	18405
732987	599	15494	15494	5643	5643
734038	600	2943	2943	747	747
735127	601	806	806	1083	1083
736239	601	4475	4475	10918	10918
737304	602	2979	2979	264	264
738348	603	97	97	66	66
739427	604	97	97	66	66
740477	605	66	66	1749	1749
741514	606	72629	72629	3513	3513
743633	608	374	374	1054	1054
744683	609	0	0	66	66
745720	610	4986	4986	9086	9086
746760	610	7993	7993	6598	6598
747831	611	2356	2356	303	303
748870	612	9312	9312	10284	10284
749932	613	34483	34483	7918	7918
750995	614	25457	25457	12403	12403
752061	615	16805	16805	3362	3362
753122	616	5387	5387	9554	9554
754169	617	24615	24615	3108	3108
755244	618	8989	8989	594	594
758393	621	1398	1398	948	948
759461	622	0	0	132	132
761584	624	374	374	1052	1052
764734	627	374	374	1218	1218
766817	629	0	0	66	66
767908	630	0	0	1152	1152
768960	631	374	374	66	66
777409	639	374	374	1054	1054
778471	640	78	78	0	0
781622	643	0	0	66	66
782658	644	374	374	1284	1284
784772	645	26423	26423	10584	10584
785837	646	80064	80064	7495	7495
786942	646	11022	11022	3842	3842
788002	647	7911	7911	2389	2389
789066	648	5003	5003	906	906
790137	649	5842	5842	1600	1600
791186	649	1056	1056	509	509
792250	650	2054	2054	10567	10567
793299	651	1081	1081	178	178
800668	657	440	440	1093	1093
803799	660	1575	1575	235	235
804863	661	513	513	579	579
806973	663	611	611	1389	1389
810127	666	440	440	1218	1218
814344	670	374	374	1284	1284
818583	674	758	758	156	156
819630	675	18308	18308	5190	5190
820681	676	374	374	1054	1054
824997	680	821	821	1731	1731
826062	681	0	0	105	105
827129	682	105	105	66	66
829196	684	440	440	1218	1218
831312	686	311	311	484	484
832362	687	6569	6569	4464	4464
833396	688	20794	20794	9581	9581
834476	688	30859	30859	9341	9341
836541	690	440	440	1218	1218
840804	694	97	97	66	66
841859	695	10154	10154	3150	3150
842910	696	12103	12103	3685	3685
843964	697	66	66	0	0
845015	698	929	929	1740	1740
848172	701	23094	23094	8287	8287
849216	702	7806	7806	14948	14948
850278	703	10636	10636	3555	3555
851357	703	1440	1440	1230	1230
852418	704	23671	23671	8466	8466
853482	705	1087	1087	66	66
858748	710	12527	12527	1412	1412
859782	711	26892	26892	7338	7338
860844	711	1356	1356	539	539
865067	715	0	0	986	986
866103	716	5526	5526	1372	1372
867153	717	21818	21818	8655	8655
868212	718	11545	11545	2467	2467
869259	719	440	440	1284	1284
872474	722	1255	1255	2154	2154
873541	723	14298	14298	5062	5062
874609	724	4147	4147	584	584
876710	726	5137	5137	1050	1050
877774	727	5670	5670	2494	2494
879879	729	14234	14234	4900	4900
880953	730	24089	24089	8792	8792
882029	731	5635	5635	2641	2641
883089	732	1401	1401	1284	1284
884154	733	12415	12415	5182	5182
885263	733	16194	16194	3687	3687
886331	734	15015	15015	5618	5618
887367	735	8017	8017	3374	3374
891559	739	16160	16160	5949	5949
892602	740	22940	22940	14196	14196
893650	741	3372	3372	617	617
896826	743	555	555	588	588
897862	744	17792	17792	7659	7659
898928	745	13540	13540	3751	3751
899994	746	97	97	66	66
902119	748	66	66	66	66
904229	750	555	555	654	654
905265	751	97	97	66	66
906315	752	66	66	0	0
907351	753	66	66	66	66
910546	756	543	543	1619	1619
911608	756	22567	22567	5326	5326
912673	757	14601	14601	16341	16341
913725	757	14363	14363	3285	3285
914773	758	11874	11874	5754	5754
915843	759	1242	1242	318	318
924256	767	10214	10214	7143	7143
925307	768	6601	6601	1439	1439
926368	769	988	988	66	66
928506	770	4571	4571	599	599
929583	771	1875	1875	1271	1271
930656	772	6219	6219	4391	4391
932766	774	97	97	66	66
933844	775	66	66	205	205
934906	776	989	989	1284	1284
935980	776	66	66	132	132
938168	778	27193	27193	6882	6882
939313	778	48086	48086	9794	9794
940375	778	17829	17829	5317	5317
