#time	step	type	freed	heap_used	heap_size	percent	paused	total_time
259712	188	Explicit concurrent copying	416	2048	4096	 49	0.071	31.373
261811	189	Explicit concurrent copying	431	2048	4096	 49	0.067	59.779
263651	191	Explicit concurrent copying	400	2048	4096	 49	0.081	52.587
265755	192	Explicit concurrent copying	320	2048	4096	 49	0.057	59.451
269757	195	Explicit concurrent copying	335	2048	4096	 50	0.24	64.102
271842	196	Explicit concurrent copying	351	2048	4096	 49	0.072	82.783
273812	198	Explicit concurrent copying	288	2048	4096	 50	0.095	69.912
275513	199	Explicit concurrent copying	365	2048	4096	 49	0.06	43.144
277760	200	Explicit concurrent copying	415	2048	4096	 49	0.149	76.976
279412	201	Explicit concurrent copying	337	2048	4096	 50	0.069	50.763
281227	201	Explicit concurrent copying	401	2048	4096	 50	0.221	62.156
283498	202	Explicit concurrent copying	415	2048	4096	 49	0.072	48.784
285454	203	Explicit concurrent copying	368	2048	4096	 49	0.071	56.869
287469	204	Explicit concurrent copying	382	2048	4096	 49	0.185	94.543
289557	206	Explicit concurrent copying	401	2048	4096	 49	0.196	49.791
291415	207	Explicit concurrent copying	367	2048	4096	 49	0.072	55.168
293497	209	Explicit concurrent copying	399	2048	4096	 50	0.061	65.105
295398	210	Explicit concurrent copying	384	2048	4096	 49	1.963	67.537
297186	212	Explicit concurrent copying	320	2048	4096	 49	0.055	42.606
299343	214	Explicit concurrent copying	320	2048	4096	 49	0.072	42.431
301425	216	Explicit concurrent copying	412	2048	4096	 50	0.075	63.561
303869	218	Explicit concurrent copying	415	2048	4096	 49	1.582	73.428
305877	220	Explicit concurrent copying	400	2048	4096	 49	0.169	76.244
307675	222	Explicit concurrent copying	371	2048	4096	 49	0.072	62.027
309493	223	Explicit concurrent copying	383	2048	4096	 49	0.089	53.115
311650	224	Explicit concurrent copying	384	2048	4096	 50	0.075	77.830
313357	226	Explicit concurrent copying	384	2048	4096	 49	0.072	46.451
315529	228	Explicit concurrent copying	416	2048	4096	 50	0.165	42.476
317372	229	Explicit concurrent copying	384	2048	4096	 49	0.127	43.221
319526	231	Explicit concurrent copying	447	2048	4096	 49	0.072	49.476
321303	233	Explicit concurrent copying	368	2048	4096	 50	0.095	50.397
323338	235	Explicit concurrent copying	400	2048	4096	 49	0.079	42.866
325272	237	Explicit concurrent copying	304	2048	4096	 49	0.047	37.878
327513	239	Explicit concurrent copying	412	2048	4096	 49	0.192	50.582
329530	241	Explicit concurrent copying	383	2048	4096	 49	0.176	45.314
331580	243	Explicit concurrent copying	384	2048	4096	 50	0.067	41.954
333569	244	Explicit concurrent copying	450	2048	4096	 49	0.204	67.527
335442	246	Explicit concurrent copying	383	2048	4096	 49	0.088	47.094
337507	248	Explicit concurrent copying	400	2048	4096	 49	0.054	38.078
339551	250	Explicit concurrent copying	400	2048	4096	 49	0.052	42.777
341429	252	Explicit concurrent copying	382	2048	4096	 49	0.168	42.476
343527	254	Explicit concurrent copying	401	2048	4096	 49	0.053	37.493
345894	256	Explicit concurrent copying	384	2048	4096	 49	0.087	56.323
353441	263	Explicit concurrent copying	336	2048	4096	 49	0.06	91.913
363666	273	Explicit concurrent copying	319	2048	4096	 49	0.063	58.029
365578	274	Explicit concurrent copying	288	2048	4096	 49	0.15	42.011
368436	277	Explicit concurrent copying	351	2048	4096	 49	0.067	101.903
370413	279	Explicit concurrent copying	319	2048	4096	 49	0.19	58.186
373016	282	Explicit concurrent copying	336	2048	4096	 49	0.068	112.684
374942	283	Explicit concurrent copying	303	2048	4096	 49	0.12	59.987
376534	285	Explicit concurrent copying	288	2048	4096	 49	0.064	45.354
378677	287	Explicit concurrent copying	304	2048	4096	 49	0.057	59.042
380785	289	Explicit concurrent copying	335	2048	4096	 50	0.085	52.737
382618	290	Explicit concurrent copying	304	2048	4096	 49	0.097	57.502
384767	293	Explicit concurrent copying	320	2048	4096	 49	0.114	57.524
386555	294	Explicit concurrent copying	304	2048	4096	 49	0.058	42.418
388670	296	Explicit concurrent copying	335	2048	4096	 50	0.264	60.744
390680	298	Explicit concurrent copying	305	2048	4096	 50	0.149	84.520
392647	300	Explicit concurrent copying	319	2048	4096	 49	0.062	51.824
394724	302	Explicit concurrent copying	320	2048	4096	 49	0.057	44.336
396786	304	Explicit concurrent copying	335	2048	4096	 49	0.06	38.553
398761	306	Explicit concurrent copying	381	2048	4096	 50	0.079	73.816
400817	308	Explicit concurrent copying	415	2048	4096	 50	0.1	75.867
402738	310	Explicit concurrent copying	402	2048	4096	 50	0.077	38.929
404506	311	Explicit concurrent copying	400	2048	4096	 50	0.072	52.537
406554	313	Explicit concurrent copying	400	2048	4096	 49	0.066	52.282
408633	315	Explicit concurrent copying	400	2048	4096	 49	0.09	48.428
410261	316	Explicit concurrent copying	400	2048	4096	 50	0.09	38.606
412808	317	Explicit concurrent copying	384	2048	4096	 50	0.081	39.592
414959	318	Explicit concurrent copying	399	2048	4096	 49	0.164	52.269
417251	320	Explicit concurrent copying	320	2048	4096	 49	0.302	40.198
419289	322	Explicit concurrent copying	320	2048	4096	 49	1.361	40.072
420957	323	Explicit concurrent copying	304	2048	4096	 49	0.054	32.761
423260	325	Explicit concurrent copying	365	2048	4096	 49	0.623	51.824
425135	327	Explicit concurrent copying	398	2048	4096	 49	0.059	69.150
427186	329	Explicit concurrent copying	399	2048	4096	 49	0.077	84.971
429158	331	Explicit concurrent copying	403	2048	4096	 50	0.083	54.629
430926	333	Explicit concurrent copying	399	2048	4096	 50	0.081	44.665
432875	334	Explicit concurrent copying	400	2048	4096	 50	0.071	46.608
434893	336	Explicit concurrent copying	400	2048	4096	 50	0.088	42.740
436778	338	Explicit concurrent copying	416	2048	4096	 49	0.072	41.899
438868	340	Explicit concurrent copying	399	2048	4096	 49	0.092	50.649
440884	342	Explicit concurrent copying	336	2048	4096	 49	0.061	42.263
442880	343	Explicit concurrent copying	319	2048	4096	 49	0.053	41.008
444794	344	Explicit concurrent copying	320	2048	4096	 49	0.067	43.463
446767	346	Explicit concurrent copying	351	2048	4096	 49	0.081	65.120
448909	347	Explicit concurrent copying	430	2048	4096	 50	0.074	51.818
